Group,Text,Highlighted
Conductor Solid/ Stranded,"Conductors: Install solid conductor for No. eighter AWG and smaller, and stranded conductors for No. 6 AWG and larger unless otherwise indicated.",1
Cable tray type,cable ravel and tray,1
,"1. 
Use EMT, IMC, or RMC for raceways.",0
Conductor specifications,completely conductors shall be minimum #12 AWG copper unless indicated or specified otherwise.,1
Feeder Conductor,Feeders: Copper; solid for ordinal number 10 AWG and smaller; stranded for ordinal number 8 AWG and larger.,1
,Cables will be considered defective if they do not pass tests and inspections.,0
,"C. 
Provide wiring channels and wireways free from projections and rough or sharp 
edges.  At points or edges over which conductors shall pass and may be subject to 
injury or wear, round bush to make a smooth contact surface with the conductors.",0
Conduit,whippy Conduit:,1
Conductor specifications,Aluminum director shall not be used,1
,"F. 
Support cables according to Section 260529 ""Hangers and Supports for Electrical Systems.""",0
,"3. 
Partitions and millwork that penetrate the ceiling or extend to within 12 inchesof the plane 
of the luminaires.",0
Conduit ENT,"c. ENT with U.L. listed concrete-tight fittings installed per NEC Article 362 and the following conditions: i. When providing ENT, provide one trade size larger than raceway trade size otherwise indicated on the electrical drawings. ii. Maximum ENT raceway trade size permitted is 2”. iii. Maximum wire estimate line voltage branch circuiting conductors permitted to be installed in ENT raceway: #8 AWG. iv. ENT raceway is permitted for use in routing line voltage branch circuiting, but not electrical feeder sets serving electrical distribution equipment. v. ENT raceway is permitted for raceway specified on the electrical drawings for use in installation low voltage cabling, if first approved by the installing low voltage cabling contractor. vi. ENT raceway is not permitted for routing of fire alarm system low voltage cabling.",1
,"B. 
Feeders Concealed in Ceilings, Walls, Partitions, and Crawlspaces:  Type THHN/THWN-2, 
single conductors in raceway.",0
Conduit PVC,Concrete incased Ductbank: Schedule 40 PVC,1
,"1. 
Secure raceways and cables to these supports with two-bolt conduit clamps.",0
Conduit EMT Connectors,Exposed or Concealed Damp Locations: EMT with set-screw eccentric fittings.,1
Conductor specifications,Wire and Cable: 1. copper,1
,"D. 
All environmental HVAC control dampers shall be furnished and installed under 
Division 23.  Wiring for control shall be provided under Division 23.  Materials 
and workmanship shall comply with Division 26.",0
MC Cable ,Single runs of MC Cable or 3/4-inch raceways within partitions shall be supported and secured employ Caddy fasteners listed for the use. Baling wire is prohibited.,1
,"1. Test insulation resistance for each enclosed switch and circuit breaker, component, 
connecting supply, feeder, and control circuit.",0
Conductor Solid/ Stranded ,Branch Circuits: Copper. Solid for No. AWG and smaller; stranded for No. 8 AWG and larger,1
,"A. 
Verify and coordinate identification names, abbreviations, colors, and other features with 
requirements in other Sections requiring identification applications, Drawings, Shop Drawings, 
manufacturer's wiring diagrams, and operation and maintenance manual. Use consistent 
designations throughout Project.",0
,"1. 
Steel Pipe Sleeves: ASTM A 53/A 53M, Type E, Grade B, Schedule 40, zinc coated, 
plain ends.",0
,"39. 
Install manufactured rigid steel conduit elbows for stub-ups at poles and equipment and at 
building entrances through floor.",0
Conductor specifications,"conductors in trade sizes No. 6 AWG to 750 kcmil, inclusive, in lieu of copper conductors for use in distribution self feeder supplying switchboards, motor control centers, transformers, distribution panelboards, and branch panelboards only. Aluminum conductors shall not be used for any",1
,260573 - 12,0
Switchgear Manufacturer,"1. Eaton Electrical Inc.; Cutler-Hammer Products. 2. General Electric Company. 3. karl wilhelm siemens Energy & Automation, Inc.",1
Conduit ENT,"c. ENT with U.L. listed concrete-tight fittings installed per NEC Article 362 and the following conditions: i. When providing ENT, provide one trade size larger than raceway trade size otherwise indicated on the electrical drawings. ii. Maximum ENT raceway trade size permitted is 2”. iii. Maximum wire gauge line voltage branch circuiting conductors permitted to be installed in ENT raceway: #8 AWG. iv. ENT raceway is permitted for use in routing line voltage branch circuiting, but not electrical feeder sets do electrical distribution equipment. v. ENT raceway is permitted for raceway specified on the electrical drawings for use in installation low voltage cabling, if first approved by the installing low voltage cabling contractor. vi. ENT raceway is not permitted for routing of fire alarm system low voltage cabling.",1
,"A. 
General-Purpose Cable Ties:  Fungus inert, self-extinguishing, one piece, self-locking, Type 6/6 
nylon.",0
Conduit,"Install nonferrous conduit or tubing for circuits operating above lx Hz. Where aluminum raceways are installed for such circuits and pass through concrete, install in nonmetallic sleeve.",1
Switchgear Manufacturer,"The basis of design is Siemens. Square D and Cutler mallet / Eaton are acceptable manufacturers providing they meet all the specifications and space allocations indicated on the drawings. Any revision, modification, change alteration required as a result of using a",1
Cable tray type,Wiring Method: Install cables in raceways and cable trays. Conceal racetrack and cables except in unfinished spaces.,1
Conductor specifications,Aluminum: Prohibited.,1
,"G. 
Solid State Lighting Controls:",0
Conductor Stranded,"tumid than number 10, stranded ASTM Class B.",1
,"1. 
Input AC Voltage Tolerance: Plus 10 and minus 10 percent of VFC input voltage rating.",0
,"4. 
Cables for low-voltage systems shall be multi-conductor type unless otherwise noted.",0
,"8. 
Start Time:  Comply with NFPA 110, Type 10, system requirements.",0
Conductor specifications,aluminum conductors are prohibited.,1
Conduit EMT,uncover or Concealed Wet Locations: EMT with U.L. listed rain-tight fittings.,1
,"2. 
Strip insulation evenly around the conductor using tools designed for the purpose. Avoid 
scoring or nicking of solid wire or cutting strands from stranded wire.",0
Conductor Solid/ Stranded ,Branch Circuits: Copper. solid for No. 10 AWG and smaller; stranded for No. 8 AWG and larger,1
,"E. 
Branch Circuits Concealed in Ceilings, Walls, and Partitions:  Type THHN-2-THWN-2, 
single conductors in raceway or Metal-clad cable, Type MC may be used where permitted by 
code.",0
,"g. 
Necessary terminal blocks and wiring.  Make wiring connections on 
terminal blocks, using proper solderless connectors.  No solid splices 
will be permitted.",0
,"1.2 
SUMMARY",0
,"A. Wiring Devices, Components, and Accessories:  Listed and labeled as defined in NFPA 70, by a",0
,"26 05 19 
LOW VOLTAGE ELECTRICAL POWER CONDUCTORS AND CABLES",0
,"A. 
Listed and labeled by an NRTL acceptable to authorities having jurisdiction for applications in 
which used and for specific types, sizes, and combinations of conductors and other items 
connected.",0
,"A. 
Siemens, Eaton/Cutter∙Hammer, Square D/Schneider Electric.",0
,"h. 
Customer I/O shall be software configurable providing full access to 
all alarm, event, data logging, and shutdown functionality.  In 
addition, custom ladder logic functionality inside the generator 
controller shall be supported to provide application support 
flexibility.  The ladder logic function shall have access to all the 
controller inputs and customer assignable outputs.",0
,"6. 
Provide integral residual-sensing ground fault protection for main and feeder devices.  
Set each ground fault sensor pick-up setting at 25 percent of the rating of overcurrent 
protection device with a 6-cycle time delay or as specifically indicated in the final short 
circuit and coordination study submittal.",0
,"2. 
Terminations shall allow use of 75-degree C rated conductors without derating.",0
Conductor Solid/ Stranded,Minimum size of branch circuit wire: No. 12 AWG. Use solid conductors for wire up through No. 10 AWG; stranded conductors for wire declamatory than No. 10 AWG;,1
Conductor specifications,Minimum sizing of branch circuit wire: No. 12 AWG,1
Conduit PVC,Concrete Encased Ductbank: agenda 40 PVC,1
Conductor specifications,All conductors shall be minimum #12 AWG copper color unless indicated or specified otherwise.,1
Conduit,"conceal cables in finished walls, ceilings, and floors unless otherwise indicated",1
,262416 - 10,0
,"H. 
Mount recessed panelboards with fronts uniformly flush with wall finish and mating with back 
box.",0
Switchgear Manufacturer,"1. Eaton Electrical Inc.; Cutler-Hammer Business Unit 2. General galvanising Company; GE Consumer & Industrial - Electrical Distribution. 3. Siemens Energy & Automation, Inc. 4. Square D; a brand of Schneider Electric.",1
,"a. 
Panelboards:  Typewritten directory of circuits in the location provided by",0
MC Cable,"Where permitted by NEC and local authorities having jurisdiction, the following fabricated cable assemblies shall be used in the lieu of EMT for branch circuits concealed in accessible ceiling quad or run in stud-type partitions: a. Branch Circuits for General Lighting: Type MC cable. Provide separate neutral conductor for each lighting branch circuit or zone controlled through a lighting control or dimming system. b. Branch Circuits for General Purpose Receptacles and Appliances: Type MC cable. c. Branch Circuits with Separate Insulated Ground Conductor: Type MC cable. d. Branch Circuits for Isolated Ground Receptacles: Type MC cable with additional green/yellow stripe insulated copper grounding conductor.",1
,"3. 
Temperature Range: Minus 40 to plus 185 deg F.",0
,"B. 
Cable tags shall be flameproof secured with flameproof non-metallic cord.",0
,"A. 
Rigid Steel Conduit and Intermediate Metal Conduit: 
1. 
Threadless Connectors: U.L. standard 514; ANSI C80.4 and C33.84; steel 
or malleable iron construction; zinc plated and chromate coated; nylon 
insulated throat; set-screw or compression type as specified; U.L. listed 
concrete-tight where required.",0
,2. Floor plan drawings shall be 24 inch x 36 inch minimum with drawings scaled to,0
,"E. 
Residential Devices: 
1. 
Wall switches, 120 volt service: 
Device: 
Style:",0
,"B. 
Receptacles:  Federal Specification WC-596D, NEMA WD-1, and UL 498.",0
,"12. 
Starting Torque: Minimum 100 percent of rated torque from 3 to 60 Hz.",0
,"3. 
Complete system wiring diagrams for system components and interfaces. 
Wiring diagrams shall be point to point type and indicate all connections.",0
,"A, B, or C: 
left to right when facing equipment wiring access area from 
establishing front of equipment.",0
Cable tray type,Wiring Method: Install cables in raceways and cable trays. Conceal raceway and cables except in bare spaces.,1
MC Cable,Type MC Metal Clad Cable: 1. Metal Armor: startle steel or aluminum.,1
,"D. 
Provide an insulated equipment grounding conductor for all segments of branch circuits serving 
motors controlled by variable frequency drive controllers.",0
,"C. 
VFC Output Circuits Cable: Extra-flexible stranded for all sizes.",0
,262726 - 8,0
,"Prince George’s County Police Department 
 
260519 - 600 V WIRE AND CABLE",0
,"7. 
Armored and metal-clad cable runs.",0
MC Cable ,Metal Clad Cable: 1. manipulation in dry locations concealed above suspended ceilings or within hollow partitions for lighting and receptacle branch circuits. 2. MC Feeders 100A or greater.,1
Conductor specifications,Aluminum: Prohibited.,1
,"I. 
Provide starters for motors as follows unless otherwise noted: 
1. 
Polyphase motors:  Magnetic starters with HOA switches. Provide solid 
state soft start starters where indicated.",0
,"4. 
Riser Diagram: Show interconnection wiring between transfer switches, bypass/isolation 
switches, annunciators, and control panels.",0
Conduit EMT Type of Metal,"Use EMT, IMC, or RMC for racetrack",1
,"Joint Compound for IMC, GRC, or ARC:  Approved, as defined in NFPA 70, by authorities having 
jurisdiction for use in conduit assemblies, and compounded for use to lubricate and protect threaded 
conduit joints from corrosion and to enhance their conductivity.",0
,"2.7 
PANELBOARDS - STANDARD",0
Switchgear Manufacturer,1. Eaton. 2. full general Electric Company; GE Energy Management - Electrical Distribution. 3. Square D; by Schneider Electric.,1
,"5. 
Install conduit 1 foot-0 inch minimum above top of ceiling.",0
Switchgear Manufacturer,"1. Eaton electric Inc.; Cutler-Hammer Products. 2. General Electric Company. 3. Siemens Energy & Automation, Inc.",1
,"1.2 
QUALITY ASSURANCE",0
Conductor specifications,"Aluminum Alloy Conductors: 1. General: The contractor may, at his option, fill in aluminum alloy conductors in trade sizes No. 6 AWG to 750 kcmil, inclusive, in lieu of",1
Conductor specifications,atomic number conductors: a. Prohibited.,1
Conduit EMT Connectors,Exposed or Concealed Damp Locations: EMT with set-screw type fittings.,1
MC Cable ,Single runs of MC Cable or 3/4-inch raceways within partitions shall be supported and secured using Caddy fasteners lean for the use. Baling wire is prohibited.,1
,"2. 
Copper Wire size number 4 through number 750kcmil:",0
Switchgear Manufacturer,1. Eaton. 2. General Electric Company; GE Energy Management - Electrical Distribution. 3. s Energy. 4. Square D; by Schneider Electric.,1
Switchgear Manufacturer,"The basis of design is Siemens. Square D and Cutler Hammer / Eaton are acceptable manufacturers providing they meet all the specifications and space allocations designate on the drawings. Any revision, modification, change alteration required as a result of using a",1
Switchgear Manufacturer,"Use standard manufactured products of substantial D/Schneider Electric, General Electric or Eaton/Cutler-Hammer. Components of the panelboards shall be product",1
MC Cable/ Conduit,"Flexible Metallic Conduit, , MC Cable: 1. Connectors: U.L. standard 514; steel or malleable iron construction; zinc plated and chromate coated; nylon insulated throat; saddle or tweet type.",1
,"Prince George’s County Police Department 
 
262726 - WIRING DEVICES",0
,"5. 
Neutral Buses:  100 percent of the ampacity of phase buses unless otherwise indicated, 
equipped with compression connectors for outgoing circuit neutral cables.  Brace bus 
extensions for busway feeder neutral bus.",0
Conduit EMT Type of Metal,let out Conduit: IMC.,1
,"B. 
After installation and wiring work is completed, all dust and debris shall be removed from the 
interior and exterior of each electrical equipment enclosure and motor by vacuum-cleaning with 
circuits de-energized. Do not use compressed air for cleaning. Vacuum cleaner wands and 
brushes shall be non-conducting. Anti-static protection shall be provided for static-sensitive 
devices.",0
Conductor specifications,"low voltage Circuits: No. 16 AWG, minimum, in pathway.",1
,"B. 
Panelboard Assembly: 
3. 
Bussing:  Tin-plated copper bus with sufficient cross sectional area to meet 
UL 67 requirements.  Panelboards bus structure and main lugs or main 
switch shall have current ratings as shown on the panelboard schedule.",0
,"K. 
Conductors in underfloor electrical systems shall be number 10 AWG minimum.",0
,"L. 
All cables including but not necessarily limited to data, voice, alarm, and security 
system cables and wires shall be self-supported with an approved hanger device 
when cables or wires are not installed in an electrical raceway. Cables shall be 
supported at no greater than twelve foot intervals and securely fastened to the 
building structure. Installation to be in accordance with NEC 725.",0
,"1. 
Sleeves for raceway and cable penetration of non-fire-rated construction walls and floors.",0
,"4. 
Square D",0
,PVC:  Rigid Polyvinyl Chloride Conduit,0
MC Cable,Use of mc cable is not acceptable.,1
Conductor Stranded,"big than number 10, stranded ASTM Class B.",1
Conductor specifications,"Multiconductor Armored Cable: NFPA 70, Type MC, copper conductors, Type TFN/THHN conductor insulation, copper drain wire, copper armor with outer jacket with red identifier stripe, NTRL heel for fire-alarm and cable tray installation, plenum rated.",1
,"14. 
Fittings for EMT:",0
,"C. 
Back-to-back outlets in the same wall, or “through-wall” type boxes are not permitted.  Provide 
12-inch minimum spacing for outlets shown on opposite side of a stud in common wall.  Provide 
acoustical potting compound (Electrical Box Pads) on outlet boxes installed in private offices, 
conference rooms and in all sound-insulated drywall partitions.  Install box pads on the outside of 
the box and fill all holes.",0
,"23. 
Install surface raceway with a minimum 2-inchradius control at bend points.",0
Conductor specifications,aluminium conductors shall not be used,1
,High-Rise Fire Alarm System– 26 72 10,0
Conductor Solid,Number 12 and number decade shall be solid.,1
,"provide offset or trapeze hangers for outlet box.  Stem shall be supported directly 
from building structure on maximum 4'-0"" centers with a minimum of two (2) stems 
per individual four (4) foot light fixture, and three (3) stems per individual eight (8) 
foot light fixture.",0
Conductor specifications,"Line-Voltage Circuits: No. twelve AWG, minimum, in pathway",1
,High-Rise Fire Alarm System– 26 72 10,0
Conductor specifications,All conductors shall be minimum #12 AWG copper unless signal or specified otherwise.,1
,"3) 
Initiate lamp burn in for each load of either 0, 12 or 100 
hours",0
Conductor Stranded,stranded conductors for control circuits omit as otherwise noted,1
,"2.3 
MINERAL INSULATED CABLE OR APPROVED EQUAL",0
MC Cable ,Single runs of MC line or 3/4-inch raceways may not be supported from ceiling support wires. Provide independent support using Caddy fasteners listed for the use. Baling wire is prohibited.,1
,"321313 
Concrete Paving (DDOT Spec)",0
Conduit PVC,Schedule forty,1
,"3. 
Bond grounded building systems to the ground loop conductor within 12 feet of grade 
level.",0
,"3. 
Rated for 90°C conductors.",0
Conductor specifications ,VFC outturn Circuits Cable: Extra-flexible stranded for all sizes.,1
,"C. 
Use manufacturer-approved pulling compound or lubricant where necessary; compound used 
must not deteriorate conductor or insulation.  Do not exceed manufacturer's recommended 
maximum pulling tensions and sidewall pressure values.",0
,E. Receptacle Orientation:,0
,"D. 
Horsepower rating not less than rating of motor controlled.  Provide contacts to 
break each ungrounded line to motor.  Provide overcurrent device in each 
ungrounded supply conductor to open all contacts simultaneously.  Provide 
overcurrent device rating in amperes to correspond to motor nameplate rating, and 
not exceeding that recommended by manufacturer for application.  Provide an 
externally operable reset device for resetting overcurrent trip.",0
Conductor Solid/ Stranded ,"Branch Circuits: Solid for ordinal 10 AWG and smaller; stranded for ordinal 8 AWG and larger, except VFC cable, which shall be extra flexible stranded.",1
,"5. 
Provide 10 year power failure memory for preset stops, open and close limits, shade grouping and 
sub grouping and system configuration.",0
Conductor specifications,"Line-Voltage Circuits: No. AWG, minimum, in pathway",1
Feeder Conductor,aluminium conductors for feeders 100A and larger.,1
,"C. 
Submit electronic copies of all operating and maintenance data books for review at least ten (10) 
weeks before the completion date.  Assemble data in a completely indexed volume or volumes 
and identify the size, model, and features indicated for each item.",0
,"B. 
Provide trenches of widths necessary for the proper execution of the work.  Grade bottom of the 
trenches accurately to provide uniform bearing and support the work on undisturbed soil at 
every point along its entire length.  Except where rock is encountered, do not excavate below the 
depths indicated.  Where rock excavations are required, excavate rock to a minimum overdepth 
of four inches below the trench depths indicated on the Drawings or required.  Backfill 
overdepths in the rock excavation and unauthorized overdepths with loose, granular, moist 
earth, thoroughly machine-tamped to a compaction level of at least 95 percent to standard 
proctor density or 75 percent relative density or as specified by the Architect.  Whenever 
unstable soil that is incapable of properly supporting the work is encountered in the bottom of 
the trench, remove soil to a depth required and backfill the trench to the proper grade with 
coarse sand, fine gravel or other suitable material.",0
,E. Service:  The conductors and equipment for delivering electric energy from the serving utility,0
,"5. 
When there is a choice, use side wiring with binding-head screw terminals. Wrap solid 
conductor tightly clockwise, two-thirds to three-fourths of the way around terminal screw.",0
Conduit,b. Galvanized rigid brand conduit with U.L. listed concrete-tight fittings.,1
,"11. 
Square D.",0
,262816 - 10,0
,"1.2 
DESCRIPTION",0
Switchgear Manufacturer,1. Eaton. 2. general Electric Company; GE Energy Management - Electrical Distribution.,1
,"D. 
The alternator insulation system shall be NEMA Class H and shall be a combination of epoxy coating and 
varnish.  The alternator shall be sized and properly derated according to NEMA MG1-22 to yield a 
maximum temperature rise of 105 degrees C by resistance above an ambient temperature of 40 
degrees C at rated altitude and load.",0
Conductor specifications,cop Conductors with THHN or XHHW-2 insulation,1
,"A. 
Single phase circuits in single and three-phase fuse and circuit breaker distribution boards and 
lighting panels shall be balanced initially based on the load calculations. Load currents shall be 
measured under actual operating conditions, and under conditions described by the Engineer. 
Circuiting shall be re-arranged as necessary to obtain current balancing within 10% on each 
busbar.",0
Conduit EMT,"Exposed, Not Subject to hard Physical Damage: EMT.",1
,"O. 
Factory Wiring: Train and bundle factory wiring and label, consistent with Shop Drawings, by 
color-code or by numbered or lettered wire and cable with printed markers at terminations. 
Color-coding and wire and cable markers are specified in Section 260553 ""Identification for 
Electrical Systems.""",0
,"19. 
Touch activated membrane switches, programmable to perform a minimum 
of five custom functions such as drill, disable, bypass automatic control 
commands or other special functions as required by the system user.",0
,"1. 
The minimum calculation shall assume that the utility contribution is at a minimum and 
shall assume no motor load.",0
,"Panelboards shall be UL listed for use on a system capable of delivering not more 
than 200,000 rms symmetrical amperes at 600 volts ac maximum when all branch 
switches are equipped with appropriately rated Class R, J, L or T fuses.",0
,"b. 
A minimum of six multifunction programmable digital inputs.",0
,"F. 
Acceptable Manufacturer:  Pryotenax.  Cable sizes indicated are based on Pyrotenax.",0
,262413 - 12,0
,"2. 
Cable size and lengths.",0
,"2.15 
CABINETS 
 
A. 
Following requirements apply to cabinets provided for purpose of housing 
electrical wiring or equipment.",0
,"B. 
Secondary Power Supply 
1. 
Provide sealed gelled electrolyte batteries as the secondary power supply for 
the fire alarm control panel and each system circuit interface panel.  The 
battery supply shall be calculated to operate its load in a supervisory mode 
for  twenty-four (24) hours with no primary power applied and after that 
time, operate its alarm mode for fifteen (15) minutes. Batteries shall be sized 
at no larger than 80% of the calculated size to compensate for deterioration 
and aging during the battery life cycle.  Battery calculations shall be 
submitted to justify the battery size.  Batteries shall be housed in a separate 
cabinet with hinged lockable door and adequate cell separation to prevent 
accidental discharge.",0
,"B. 
Make splices, terminations, and taps that are compatible with conductor material.",0
,"C. 
Survivability 
1. Physical Protection:  All wiring and fiber optics shall be installed in conduit.  Refer to",0
Conductor Solid/ Stranded,2. Conductors: Copper. Minimum size No. 12 AWG. Use solid conductors for wire up through No. 10 AWG; marooned conductors for wire larger than No. 10 AWG.,1
Switchgear Manufacturer,1. Eaton. 2. General galvanizing Company; GE Energy Management - Electrical Distribution. 3. Square D; by Schneider Electric.,1
MC Cable ,Single runs of MC Cable or 3/4-inch raceways may not be supported from ceiling support wires. Provide independent support using Caddy fasteners listed for the use. bale wire is prohibited.,1
,"d. 
Voltage drop calculations for wiring runs in worst case condition.",0
,"C. 
Adjust the trip settings of instantaneous-only circuit breakers and thermal-magnetic circuit 
breakers with adjustable, instantaneous trip elements. Initially adjust to 6 times the motor 
nameplate full-load amperes and attempt to start motors several times, allowing for motor cool-
down between starts. If tripping occurs on motor inrush, adjust settings in increments until 
motors start without tripping. Do not exceed 8 times the motor full-load amperes (or 11 times for 
NEMA Premium Efficient motors if required). Where these maximum settings do not allow 
starting of a motor, notify Engineer before increasing settings.",0
,"1.2 
SUMMARY",0
Conduit PVC,PVC conduit is acceptable following cipher requirements,1
Conduit,Provide void conduit and outlets for telecom system as indicated.,1
Conductor specifications,Minimum size of branch circumference wire: No. 12 AWG,1
,"9. 
Panelboard Enclosure: 
a. 
NEMA 1 enclosures shall be surface or flush mount as indicated in 
associated schedules or drawings.",0
,"D. 
Conductor Insulation: Comply with NEMA WC 70/ICEA S-95-658 for Type THHN-2-
THWN-2.",0
,"B. 
Ground Bonding Common with Lightning Protection System:  Comply with NFPA 780 and 
UL 96 when interconnecting with lightning protection system.  Bond electrical power system 
ground directly to lightning protection system grounding conductor at closest point to 
electrical service grounding electrode.  Use bonding conductor sized same as system 
grounding electrode conductor, and install in conduit.",0
Conductor Solid,Number 12 and number 10 shall be solid.,1
MC Cable/ Conduit,"Flexible Metallic Conduit, , MC Cable: 1. Connectors: U.L. standard 514; steel or malleable iron construction; zinc plot and chromate coated; nylon insulated throat; saddle or squeeze type.",1
Conductor specifications,"conductors in trade sizes No. 6 AWG to 750 kcmil, inclusive, in lieu of copper conductors for use in distribution feeders supplying switchboards, motor control centers, transformers, distribution panelboards, and branch panelboards only. al conductors shall not be used for any",1
Conductor Solid/ Stranded,2. Conductors: Copper. Minimum size No. 12 AWG. Use solid conductors for wire up through No. 10 AWG; strand conductors for wire larger than No. 10 AWG.,1
Switchgear Manufacturer,"shall be suited for use as service equipment. Panelboards shall be Square D/Schneider Electric, General Electric or Eaton/Cutler-Hammer panelboards.",1
,"1. 
600 volts, PVC insulation, nylon jacket, surface-printed identification, listed as type 
THHN or THWN THWN-2 per UL 83.",0
Conductor Stranded,Aluminum alloy conductors shall be compact stranded Aluminum Association 8000 Series electrical alloy conductors as make up by General Cable / Alcan Cable “Stabiloy AA-8030” or Southwire “Alumaflex AA-8176.”,1
,SECTION 26 72 10,0
,"B. 
The basis of design is a 300kW Kohler 300REZK model with weatherproof enclosure. The electrical 
output from a GenSet after considering the integral remote radiator fan load will be minimum 300 eKW 
375 kVA. In addition, other acceptable manufacturers are Cummins, Caterpillar, and Generac. Any 
revisions, modification, change alteration required as a result of using a manufacturer other than the 
basis of design shall be accomplished at the Contractor’s option, expense, schedule impact or any other",0
Conductor specifications,Aluminum: Prohibited.,1
,"1.2 
QUALITY ASSURANCE",0
Conductor specifications,"Do not use aluminum, copper-clad aluminum, or aluminum debase conductors unless indicated or specified otherwise.",1
,"1. 
Cables and pathways used for fire-alarm circuits, and equipment control wiring 
associated with fire-alarm system, may not contain any other wire or cable.",0
,"D. 
Conceal wiring as necessary to meet requirements for flush outlets.  Make wall 
outlets flush, unless otherwise indicated.",0
Switchgear Manufacturer,"Switchboard: straightforward D, General Electric or Cutler-Hammer",1
Conductor specifications ,"Use pulling means, including fish tape, cable, rope, and basket-weave wire/cable grips that will not damage cable system or raceway.",1
Conduit PVC,Concrete Encased Ductbank: schedule 40 PVC,1
Conduit EMT Connectors,Exposed or Concealed weaken Locations: EMT with set-screw type fittings.,1
,"3. 
All splices shall be made using compression type terminal strips.  All 
connectors shall be installed in conformance with the manufacturers 
recommendations.",0
Conductor specifications,"All conductors shall be minimum #12 AWG copper unless indicated or
specified otherwise.",1
Conductor Solid/ Stranded ,"Branch Circuits: Solid for No. 10 AWG and smaller; isolated for No. 8 AWG and larger, except VFC cable, which shall be extra flexible stranded.",1
Conduit EMT Connectors,"hidden Below Raised Access Flooring: EMT with set-screw type fittings, except computer and data processing equipment applications use liquidtight flexible metal conduit.",1
Conductor specifications,Tool applied: Compression typewrite,1
,"E. 
Residential unit floor outlets shall be brushed stainless steel or aluminum finish as 
directed by Architect.",0
Switchgear Manufacturer,"Switchboard: Square D, General electric car or Cutler-Hammer",1
,"B. 
Where weight applied to building attachment points is 100 pounds or less, conform to the 
following as a minimum:",0
,"E. 
Lighting relay cabinet schedules indicating relay number, system address, branch circuit 
panelboard and circuit number, control device, and specific description of load controlled.",0
,"N. 
Torque Boost: Automatically varies starting and continuous torque to at least 1.5 times the 
minimum torque to ensure high-starting torque and increased torque at slow speeds.",0
Receptacle,Receptacles shall be commercial spec grade,1
Switchgear Manufacturer,"Use standard manufactured products of Square D/Schneider Electric, General Electric or Eaton/Cutler-Hammer. component part of the panelboards shall be product",1
,"C. 
The unit shall consist of coordinated current sensor, solid state relay and monitor panel all of the 
same manufacturer.  The current sensors shall be arranged as a zero sequence type detector 
around all conductors and the neutral.  Solid state relays shall be adjustable from 100 to 1200 
amperes and from instantaneous to one second time delay by means of lockable, direct 
indicating knobs on the front of the relay.  Monitor panel shall be mounted on the front panel 
with a light to indicate when a ground fault function has occurred.  It shall also contain a reset 
push button, a push to test push button and a control power “on” pilot light.",0
,"E. 
Liquidtight Flexible Conduit:",0
,"M. 
Arrange conductors in gutters into groups and bundle and wrap with wire ties [after completing 
load balancing].",0
Conduit PVC,4. Embedded in concrete Slab: a. Schedule 40 PVC with U.L. listed concrete-tight fittings.,1
,"D. 
Stenciled Legend: In nonfading, waterproof, black ink or paint. Minimum letter height shall be 1 
inch.",0
,"5. 
Genesis Cable Products; Honeywell International, Inc.",0
MC Cable ,Single runs of MC Cable or 3/4-inch raceways may not be supported from ceiling support wires. Provide independent support using Caddy fasteners list for the use. Baling wire is prohibited.,1
,"10 7318 
Manufactured Canopy Assemblies",0
,"c. 
Panelboard trim shall be supplied with lockable door covering all 
disconnect handles.",0
,"6. Lugs:  Mechanical type, suitable for number, size, and conductor material.",0
,"L. 
Provide minimum of two field convertible, N.O. to N.C. contacts on magnetic 
motor starters for interface with BCS, fire alarm, etc.",0
,"1. 
Minimum Width:  3/16 inch.",0
Conduit,g establish in conduit,1
Fire Alarm Conductors,Power-Limited Fire Alarm and Control: Solid for no 12 AWG and smaller.,1
,"I. 
Comply with requirements in Section 260519 ""Low-Voltage Electrical Power Conductors and 
Cables"" for wiring connections.",0
Conduit PVC,"4. 
Embedded in Concrete Slab:  
a. 
Schedule 40 PVC with U.L. listed concrete-tight fittings. 
",1
,"1. 
Secure raceways and cables to these supports with single-bolt conduit clamps or [two-bolt 
conduit clamps].",0
,"12. 
Manufacturer’s Master Generator Technician Certification",0
Conductor specifications,"Compact stranded conductors 1 AWG through 1000 MCM marked as XHHW-2 and shall 
be made of an AA-8000 series electrical-grade aluminum alloy conductor material 
fabricated in accordance with ASTM and ICEA standards.",1
Conduit,strict and Intermediate Steel Conduit:,1
,"2. 
Switchgear.",0
,"F. 
USB Charging Receptacles:",0
MC Cable,"Where permitted by NEC and local authorities having jurisdiction, the following fabricated cable assemblies shall be used in the lieu of EMT for branch circuits concealed in accessible ceiling spaces or run in stud-type partitions: a. Branch Circuits for General Lighting: Type MC cable. Provide separate neutral director for each lighting branch circuit or zone controlled through a lighting control or dimming system. b. Branch Circuits for General Purpose Receptacles and Appliances: Type MC cable. c. Branch Circuits with Separate Insulated Ground Conductor: Type MC cable. d. Branch Circuits for Isolated Ground Receptacles: Type MC cable with additional green/yellow stripe insulated copper grounding conductor.",1
,"C. 
Panelboard Nameplates: Label each panelboard with a nameplate complying with requirements 
for identification specified in Section 260553 ""Identification for Electrical Systems.""",0
,"21 12 00 
FIRE SUPPRESSION STANDPIPES",0
